Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
Jun to Aug 1992,"45,001","28,341","25,525","2,816","16,659",63,56.7,9.9,37
Jul to Sep 1992,"45,003","28,324","25,509","2,815","16,680",62.9,56.7,9.9,37.1
Aug to Oct 1992,"45,006","28,304","25,454","2,850","16,702",62.9,56.6,10.1,37.1
Sep to Nov 1992,"45,007","28,305","25,406","2,899","16,702",62.9,56.4,10.2,37.1
Oct to Dec 1992,"45,010","28,267","25,336","2,932","16,742",62.8,56.3,10.4,37.2
Nov to Jan 1993,"45,012","28,284","25,301","2,983","16,728",62.8,56.2,10.5,37.2
Dec to Feb 1993,"45,014","28,298","25,274","3,023","16,717",62.9,56.1,10.7,37.1
Jan to Mar 1993,"45,016","28,286","25,282","3,004","16,730",62.8,56.2,10.6,37.2
Feb to Apr 1993,"45,019","28,247","25,258","2,988","16,772",62.7,56.1,10.6,37.3
Mar to May 1993,"45,020","28,238","25,286","2,952","16,782",62.7,56.2,10.5,37.3
Apr to Jun 1993,"45,022","28,224","25,293","2,931","16,798",62.7,56.2,10.4,37.3
May to Jul 1993,"45,024","28,220","25,293","2,927","16,804",62.7,56.2,10.4,37.3
Jun to Aug 1993,"45,029","28,184","25,278","2,906","16,844",62.6,56.1,10.3,37.4
Jul to Sep 1993,"45,033","28,206","25,316","2,890","16,827",62.6,56.2,10.2,37.4
Aug to Oct 1993,"45,037","28,212","25,320","2,892","16,825",62.6,56.2,10.3,37.4
Sep to Nov 1993,"45,041","28,205","25,319","2,885","16,837",62.6,56.2,10.2,37.4
Oct to Dec 1993,"45,046","28,213","25,320","2,892","16,833",62.6,56.2,10.3,37.4
Nov to Jan 1994,"45,051","28,214","25,322","2,892","16,837",62.6,56.2,10.3,37.4
Dec to Feb 1994,"45,054","28,207","25,362","2,845","16,847",62.6,56.3,10.1,37.4
Jan to Mar 1994,"45,059","28,214","25,408","2,806","16,845",62.6,56.4,9.9,37.4
